Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
login without account,,,,2024-02-17 12:51:58,2024-02-17 12:52:44,45.259s,PASSED
,,,,,,,
Test Cases/Validate login without account,,,,2024-02-17 12:51:59,2024-02-17 12:52:22,23.538s,PASSED
"startApplication(""/Users/naufalpry/Downloads/astro-release.apk"", true)",,,,2024-02-17 12:51:59,2024-02-17 12:52:15,15.408s,PASSED
"tap(findTestObject(""Object Repository/Login/Login without account/android.widget.TextView - Mulai pakai Astro""), 0)",,,,2024-02-17 12:52:15,2024-02-17 12:52:17,2.683s,PASSED
"tap(findTestObject(""Object Repository/Login/Login without account/android.widget.Button""), 0)",,,,2024-02-17 12:52:17,2024-02-17 12:52:18,0.268s,PASSED
"tap(findTestObject(""Object Repository/Login/Login without account/android.widget.TextView - Masuk tanpa akun""), 0)",,,,2024-02-17 12:52:18,2024-02-17 12:52:19,1.887s,PASSED
"tap(findTestObject(""Object Repository/Login/Login without account/android.widget.ImageView""), 0)",,,,2024-02-17 12:52:19,2024-02-17 12:52:20,0.871s,PASSED
"getText(findTestObject(""Object Repository/Login/Login without account/android.widget.TextView - Spesial di Astro""), 0)",,,,2024-02-17 12:52:20,2024-02-17 12:52:21,0.878s,PASSED
closeApplication(),,,,2024-02-17 12:52:21,2024-02-17 12:52:22,1.178s,PASSED
,,,,,,,
Test Cases/validate no phone should be filled,,,,2024-02-17 12:52:22,2024-02-17 12:52:44,21.325s,PASSED
"startApplication(""/Users/naufalpry/Downloads/astro-release.apk"", true)",,,,2024-02-17 12:52:23,2024-02-17 12:52:37,14.167s,PASSED
"tap(findTestObject(""Object Repository/Login/Validate Phone Null/android.widget.Button""), 0)",,,,2024-02-17 12:52:37,2024-02-17 12:52:39,2.547s,PASSED
"tap(findTestObject(""Object Repository/Login/Validate Phone Null/android.widget.Button (1)""), 0)",,,,2024-02-17 12:52:39,2024-02-17 12:52:40,0.256s,PASSED
"tap(findTestObject(""Object Repository/Login/Validate Phone Null/android.widget.TextView - Nomor Handphone""), 0)",,,,2024-02-17 12:52:40,2024-02-17 12:52:41,0.902s,PASSED
"tap(findTestObject(""Object Repository/Login/Validate Phone Null/android.widget.TextView - Lanjut""), 0)",,,,2024-02-17 12:52:41,2024-02-17 12:52:42,1.062s,PASSED
"getText(findTestObject(""Object Repository/Login/Validate Phone Null/android.widget.TextView - Isi nomor handphone dulu, yuk""), 0)",,,,2024-02-17 12:52:42,2024-02-17 12:52:42,0.749s,PASSED
closeApplication(),,,,2024-02-17 12:52:42,2024-02-17 12:52:44,1.285s,PASSED
